,,,,,,,,,,,,,,,10,11,12,13,14,15,16,매수개수,,,,,,,
종목명,현재가,ROE(Y),ROE(Q),BPS(Q),EPS(Q)(2),PSR(Q),배당수익률,종목코드,PER,PBR,기대 ROE,미래가치,기대복리수익률,기대이득%,2.59374246,2.839420986,3.105848208,3.39456739,3.707221314,4.045557736,4.411435079,,,,,,,,
케이씨,"18,150",67,11.9,"31,396","3,429",0.48,1.2,'029460,5.293088364,0.578099121,47.3052711,873090.9899,48.10418677,1754.62464,336614.3722,307489.0952,281111.9319,257202.4325,235510.8897,215814.7398,197915.4117,32,16.3,16,27.7,67.4,11.9,27.86,22.87166369
에이리츠,"6,210",15,34.7,"8,815","2,754",0.38,0,'140910,2.254901961,0.704480998,29.300921,81116.23477,13.06219562,403.6041865,31273.81998,28567.87886,26117.25665,23895.89761,21880.60218,20050.69265,18387.7204,113,,,,,,,
옴니시스템,"1,990",4,44.2,"2,603",984,0.84,0,'057540,2.022357724,0.764502497,27.47760358,22552.35936,11.3328439,336.9301915,8694.910811,7942.590925,7261.256135,6643.662289,6083.359326,5574.59832,5112.250085,384,,,,,,,
엠씨넥스,"36,400",26,56.3,"12,049","5,402",0.5,0.8,'097520,6.738245094,3.020997593,26.37636066,378233.3586,10.39102634,300.6190474,145825.3333,133207.9183,121781.0187,111423.1403,102026.107,93493.5016,85739.30068,83,,,,,,,
AJ네트웍스,"5,030",0,39.7,"8,185","2,839",0.2,2,'095570,1.771750616,0.61453879,25.82968466,50049.42213,9.950183325,283.622641,19296.21884,17626.62964,16114.57443,14743.97659,13500.52179,12371.4517,11345.38336,122,,,,,,,
JB금융지주,"5,340",9,11.9,"17,565","1,991",0.43,3.4,'175330,2.682069312,0.304013664,24.41605023,47457.55461,8.887182512,242.6393579,18296.94171,16713.81414,15280.06246,13980.44262,12801.38157,11730.78169,10757.84949,57,,,,,,,
신세계건설,"26,300",24,9.2,"48,394","4,465",0.11,2.8,'034300,5.890257559,0.5434558,23.93162025,224790.0192,8.547149018,229.5295948,86666.28343,79167.55574,72376.37003,66220.52043,60635.71612,55564.65483,50956.21157,21,,,,,,,
코세스,"8,990",52,38.3,"1,825",555,2.23,0,'089890,16.1981982,4.926027397,23.75631177,75758.83202,8.427011348,224.8977675,29208.3093,26681.08477,24392.31634,22317.66918,20435.47595,18726.42463,17173.28503,548,,,,,,,
에이피티씨,"7,730",45,30.7,"2,486",736,2.85,2.6,'089970,10.50271739,3.109412711,23.06624043,61598.31448,7.968734086,207.2291952,23748.81679,21693.97028,19833.00868,18146.14571,16615.76401,15226.16126,13963.32789,402,,,,,,,
피에스케이홀딩스,"8,170",21,7.6,"16,949","1,320",2.33,4.8,'031980,6.189393939,0.482034338,22.95280265,64506.9315,7.895585251,204.408991,24870.21456,22718.34005,20769.50552,19002.99039,17400.34544,15945.12691,14622.66368,59,,,,,,,
BNK금융지주,"7,430",7,8.9,"25,321","2,165",0.51,4.1,'138930,3.43187067,0.293432329,22.03147218,54413.58248,7.323496969,182.3525112,20978.79158,19163.61919,17519.71727,16029.60738,14677.72703,13450.2054,12334.66695,39,,,,,,,
토탈소프트,"3,140",37,28,"1,282",324,2.29,0,'045340,9.691358025,2.449297972,21.14673554,21381.9253,6.80953035,162.536873,8243.657814,7530.382216,6884.407693,6298.866053,5767.641985,5285.284921,4846.931875,780,,,,,,,
유진투자증권,"2,320",6,6.3,"8,126",502,0.23,2.6,'001200,4.621513944,0.285503323,20.32583435,14759.67528,6.361929002,145.2799034,5690.49376,5198.128547,4752.220422,4348.028361,3981.331038,3648.365997,3345.776379,123,,,,,,,
SK디스커버리,"26,750",6,10,"75,242","7,345",0.11,2.3,'006120,3.641933288,0.355519524,19.76706584,162441.8346,6.072591949,134.1247076,62628.35927,57209.49287,52301.92326,47853.47173,43817.6793,40153.13716,36822.90043,13,,,,,,,
한미글로벌,"9,340",7,26.5,"11,919","2,636",0.32,2.1,'053690,3.543247344,0.783622787,19.63167503,56080.09132,6.004292433,131.4914655,21621.30288,19750.53773,18056.28851,16520.54146,15127.25747,13862.14089,12712.43718,84,,,,,,,
진양폴리,"3,755",5,42.3,"2,620",956,1.1,0,'010640,3.927824268,1.433206107,19.27879847,21889.83552,5.829516783,124.7531076,8439.479191,7709.260313,7047.941191,6448.490487,5904.647623,5410.83256,4962.066794,382,,,,,,,
화천기공,"39,350",5,5.3,"136,467","7,080",0.41,3.2,'000850,5.557909605,0.288348099,19.07417132,225486.432,5.730277815,120.9270158,86934.78073,79412.82154,72600.59633,66425.67554,60823.56917,55736.79744,51114.07694,7,,,,,,,
리드코프,"6,830",10,12,"13,659","1,565",0.36,2.2,'012700,4.364217252,0.500036606,18.9659834,38783.65125,5.678426244,118.9279133,14952.77648,13659,12487.29772,11425.21176,10461.64983,9586.725436,8791.61782,73,,,,,,,
코메론,"8,470",10,12.2,"15,684","1,805",1.14,1.7,'049430,4.692520776,0.540040806,18.16025003,44936.31167,5.305349666,104.5441962,17324.89341,15825.8715,14468.28971,13237.71382,12121.29189,11107.56899,10186.32505,64,,,,,,,
노바텍,"17,250",29,24.4,"8,576","1,595",3.32,0,'285490,10.81504702,2.011427239,18.14794773,91422.04279,5.299828567,104.3313339,35247.1551,32197.42449,29435.45101,26931.86857,24660.5301,22598.13078,20723.87809,117,,,,,,,
KB오토시스,"6,190",14,13.2,"8,854","1,127",0.48,4.5,'024120,5.492457853,0.699119042,17.73977953,31690.04321,5.119554639,97.38099357,12217.8835,11160.74135,10203.34578,9335.517482,8548.19298,7833.294018,7183.613189,113,,,,,,,
이베스트투자증권,"5,280",9,11.7,"9,889","1,081",0.24,9.3,'078020,4.884366327,0.533926585,17.49629789,26477.42533,5.014663887,93.33700105,10208.19366,9324.938238,8525.022329,7799.940989,7142.121574,6544.814598,6001.998183,101,,,,,,,
원익홀딩스,"5,480",11,9.4,"10,320",922,0.97,0,'030530,5.943600868,0.531007752,17.40092221,27258.10389,4.974106549,91.7733401,10509.17904,9599.881111,8776.379933,8029.919798,7352.704784,6737.7864,6178.965213,97,,,,,,,
KB금융,"47,000",9,10,"94,212","8,856",0.39,4.1,'105560,5.307136405,0.498874878,17.38563557,233478.7799,4.967633615,91.52378047,90016.17682,82227.60241,75173.91845,68780.1281,62979.45554,57712.3836,52925.81116,11,,,,,,,
